far, high, below, narrow, enemy,,
Agent Skill,,,,,,
0,1,1,1,1,,
Blocks Feature Counts Over Time,,,,,,
3,1,4,4,2,6,0.5
5,10,24,25,24,36,0.138888889
1,0,1,1,0,1,0.5
2,3,3,3,5,6,0.333333333
6,5,16,17,12,23,0.260869565
1,0,1,0,0,1,0.5
21,28,65,69,55,100,0.21
4,4,14,12,14,20,0.2
3,3,6,9,6,11,0.272727273
5,4,12,10,10,17,0.294117647
2,1,1,2,1,3,0.666666667
16,23,58,57,47,89,0.179775281
1,0,1,1,0,1,0.5
8,15,32,32,33,50,0.16
1,0,1,0,1,1,0.5
10,5,19,17,15,26,0.384615385
3,1,2,0,2,4,0.75
13,25,49,54,47,78,0.166666667
3,0,1,1,2,3,0.5
1,0,0,1,1,1,0.5
7,6,27,24,21,34,0.205882353
13,9,32,31,28,44,0.295454545
4,1,12,6,9,14,0.285714286
2,0,5,5,2,6,0.333333333
1,0,1,1,0,1,0.5
17,10,35,34,39,55,0.309090909
3,1,3,3,3,5,0.6
1,0,1,0,1,1,0.5
4,0,3,2,2,4,0.5
2,1,5,3,3,6,0.333333333
4,4,15,15,17,21,0.19047619
3,0,3,1,2,4,0.75
6,7,11,10,12,19,0.315789474
17,21,53,44,57,79,0.215189873
1,0,0,1,1,1,0.5
5,5,9,10,12,17,0.294117647
4,5,18,14,20,25,0.16
3,0,3,3,3,5,0.6
22,20,49,44,58,78,0.282051282
1,0,1,1,0,1,0.5
2,0,2,1,2,3,0.666666667
1,0,0,1,1,1,0.5
1,0,1,0,1,1,0.5
5,2,7,8,3,10,0.5
2,0,1,2,1,2,0.5
6,4,11,9,9,16,0.375
22,22,69,64,63,100,0.22
6,5,12,12,8,18,0.333333333
7,2,10,8,9,14,0.5
3,1,9,8,8,11,0.272727273
8,3,11,11,13,20,0.4
3,6,7,7,5,14,0.214285714
6,5,7,12,9,15,0.4
6,8,16,12,19,25,0.24
7,12,22,24,21,37,0.189189189
3,3,12,10,7,16,0.1875
5,9,16,15,19,27,0.185185185
1,0,1,1,1,1,0.5
3,5,10,9,11,16,0.1875
2,1,2,1,2,4,0.5
3,4,6,8,8,10,0.3
2,1,6,7,3,8,0.25
2,1,1,1,2,4,0.5
4,1,12,10,8,13,0.307692308
1,0,1,0,1,1,0.5
2,0,3,3,2,4,0.5
1,0,1,1,0,1,0.5
4,8,14,16,14,22,0.181818182
6,7,18,18,16,28,0.214285714
12,20,53,58,44,78,0.153846154
11,6,24,20,20,34,0.323529412
6,1,9,9,7,13,0.461538462
1,0,1,1,1,1,0.5
4,3,20,14,11,23,0.173913043
1,0,0,1,1,1,0.5
20,29,67,62,64,100,0.2
12,12,28,31,25,45,0.266666667
1,0,0,1,0,1,0.5
4,2,12,10,11,15,0.266666667
7,5,16,10,10,23,0.304347826
7,6,31,22,25,39,0.179487179
3,4,11,11,13,17,0.176470588
2,0,2,1,2,2,0.5
1,0,0,1,1,1,0.5
4,1,6,4,5,8,0.5
6,3,9,10,8,14,0.428571429
2,1,4,3,4,6,0.333333333
11,3,23,17,16,30,0.366666667
21,25,56,48,50,85,0.247058824
1,0,0,1,1,1,0.5
1,0,1,1,1,1,0.5
2,2,7,8,3,10,0.2
1,0,0,1,0,1,0.5
8,9,13,14,14,25,0.32
4,8,30,30,21,38,0.105263158
2,0,4,5,4,6,0.333333333
2,0,3,4,2,4,0.5
2,2,6,5,5,8,0.25
5,7,7,12,10,15,0.333333333
